Name,Ownership,Category,Year of Establishment
"Federal College of Education (Technical), Asaba",Federal Government,College of Education,1987
"Federal College of Education,  Kano",Federal Government,College of Education,1961
"Federal College of Education (Special), Oyo",Federal Government,College of Education,1977
"College of Education,  Gindiri",State Government,College of Education,1980
"College of Education, Hong ",State Government,College of Education,1970
"Tai Solarin College of Education, Ijebu-Ode",State Government,College of Education,1978
"College of Education, Ikere-Ekiti",State Government,College of Education,1977
"Ebonyi State College of Education, (T) Ikwo",State Government,College of Education,2001
"College of Education, Warri",State Government,College of Education,1980
"FCT College of Education, Zuba",State Government,College of Education,1997
Delar College of Education,Private,College of Education,1990
"Federal College of Education, Abeokuta",Federal Government,College of Education,1976
"Federal College of Education, Eha-Amufu",Federal Government,College of Education,1981
"Federal College of Education (Technical), Gombe",Federal Government,College of Education,1977
"Federal College of Education, Kontagora",Federal Government,College of Education,1958
"Federal College of Education, Okene",Federal Government,College of Education,1974
"Federal College of Education (Technical), Omoku",Federal Government,College of Education,1989
"Federal College of Education (Tech), Potiskum",State Government,College of Education,1976
"Nasarrawa State College of Education, Akwanga",State Government,College of Education,1976
"Isa Kaita College of Education, Dustin-Ma",State Government,College of Education,1991
"College of Education, Ekiadolor-Benin",State Government,College of Education,1980
"College of Education, Gashua, Damaturu",State Government,College of Education,1986
"Kaduna State College of Education, Gidan-Waya, Kafanchan",State Government,College of Education,1977
"Osun State College of Education, Ilesa",State Government,College of Education,1977
"College of Education, Oro",State Government,College of Education,1976
"College of Education, Kastina-Ala",State Government,College of Education,1976
"Sa'adatu Rimi College of Education, Kumbosto, Kano",State Government,College of Education,1981
"College of Education (Technical), Lafiagi",State Government,College of Education,1991
"Nwafor Orizu College of Education, Nsugbe",State Government,College of Education,1976
"Adeniran Ogunsanya College of Education, Otto/Ijanikin",Federal Government,College of Education,1958
"Alvan Ikoku College of Education, Owerri",State Government,College of Education,1963
"Emmanuel Alayande College of Education (EACOED), Oyo",State Government,College of Education,1980
"College of Education, Waka BIU",Private,College of Education,1986
"City College of Education, Mararaba",Federal Government,College of Education,2003
"Federal College of Education (Technical), Akoka",Federal Government,College of Education,1967
"Federal College of Education (Technical), Bichi",Federal Government,College of Education,1987
"Federal College of Education (Technical), Gusau",Federal Government,College of Education,1990
"Federal College of Education, Kastina",Federal Government,College of Education,1976
"Federal College of Education, Obudu",Federal Government,College of Education,1983
"Adeyemi College of Education, Ondo",Federal Government,College of Education,1964
"Federal College of Education, Pankshin",Federal Government,College of Education,1974
"Federal College of Education, Yola",State Government,College of Education,1974
"Delta State College of Education, Agbor",Federal Government,College of Education,1979
"Federal College of Education, Zaria",State Government,College of Education,1962
"Akwa Ibom State College of Education, Afahansit",State Government,College of Education,1991
"Kogi State College of Education, Ankpa",State Government,College of Education,1981
"Adamu Augie College of Education, Argungu",State Government,College of Education,1993
"Aminu Sale College of Education, Azare",State Government,College of Education,1977
"Umar Ibn Ibrahim El-Kanemi College of Education, Science and Technology, Bama",Federal Government,College of Education,1976
"Nigerian Army School of Education (NASE), Ilorin",State Government,College of Education,1970
"Zamfara State College of Education, Maru",State Government,College of Education,2000
"Jigawa State College of Education, Gumel",State Government,College of Education,1976
"Niger State College of Education, Minna",State Government,College of Education,1975
"Shehu Shagari College of Education, Sokoto",Private,College of Education,1970
Tijjani Ibrahim College of Education,Private,College of Education,2021
"Ansar-Ud-Deen College of Education, Isolo",Private,College of Education,1953
"Yewa Central College of Education, Ayetoro, Abeokuta",Federal Government,College of Education,2004
"Federal College of Education (T), Umunze",State Government,College of Education,1989
"College of Education, Arochukwu, Abia",State Government,College of Education,1993
"College of Education, Ila-Orangun, Osun State",State Government,College of Education,1979
"Michael Otedola Coll. of Prim. Education, Lagos",State Government,College of Education,1994
Kashim Ibrahim College of Education,State Government,College of Education,1977
"Delta State Coll. of Physical Education, Mosogar",State Government,College of Education,2002
"Enugu State Coll. of Education (T), Enugu",State Government,College of Education,2006
"Cross River State Coll. of Education, Akampa",State Government,College of Education,2008
"Edo State College of Education, Igueben",State Government,College of Education,1980
"Isaac Jasper Boro COE, Sagbama",State Government,College of Education,2000
"Kogi State College of Education, Kabba",State Government,College of Education,2010
"Osisa Tech. College of Education, Enugu",Private,College of Education,1989
"St. Augustine College of Education Akoka, Lagos",Private,College of Education,1971
"African Thinkers Community of Inquiry COE, Enugu",Private,College of Education,1990
"Muftau Olanihun College of Education, Ibadan",Private,College of Education,2003
"Havard Wilson College of Education, Aba",Private,College of Education,2001
"Muhyideen College of Education, Ilorin",Private,College of Education,2007
"Corner Stone College of Education, Ikeja",Private,College of Education,1998
"Peaceland College of Education, Enugu",Private,College of Education,2014
"The College of Education, Nsukka",Private,College of Education,2014
"Unity College of Education, Aukpa Adoka, Benue",Private,College of Education,2015
Jornato College of Education,Private,College of Education,2019
"DIAMOND COLLEGE OF EDUCATION, ABA",Private,College of Education,2016
National Teachers Institute(NTI),Federal Government,College of Education,1976
"Kingsey College of Education,Ilorin, Kwara State",Private,College of Education,2010
"ECWA College of Education, Jis (ECOEJ)",Private,College of Education,2015
"FESTMED COLLEGE OF EDUCATION, ONDO STATE",Private,College of Education,2019
"St. Frances Asissi College of Education, Zaria",Private,College of Education,1931
"BETHEL COE IJARE, ONDO",Private,College of Education,2012
"Omaga aejigbo College of education, Ajiolo-Ojiaji",Private,College of Education,1986
"STEADY FLOW COE, IKOM",Private,College of Education,2015
"His Grace College of Education, Ilorin",Private,College of Education,2005
"Royal College of Education, Ogun State",Private,College of Education,2007
"AL HIKMA COLLEGE OF EDUCATION, ANKPA",Private,College of Education,2005
"Global COE, Bukuru",Private,College of Education,2007
"Kwararafa COE, Otupko",Private,College of Education,2009
Zaria Institute of Information Technology,Private,College of Education,2015
"College of Education,  Billiri",State Government,College of Education,2012
Lessel COE Gboko,Private,College of Education,2013
"Bayo Tijani COE, Lagos",Private,College of Education,1982
Upland COE Badagry,Private,College of Education,2014
"College of Education, Zing",State Government,College of Education,1977
ECWA COE Igbaja,Private,College of Education,2015
PAN African COE Offa,Private,College of Education,2008
Corona COE Lekki,Private,College of Education,2014
College of Education Oju,State Government,College of Education,1981
EEICOE Otukpo,Private,College of Education,2018
"Sinai COE & Ent. Studies Gboko, Benue",Private,College of Education,2018
St. Paul's College of Education Nnewi,Private,College of Education,2005
Mus'ab Bn Umair College of Education Bajoga,Private,College of Education,2021
"MCF COE Agbarha-Otor, Delta",Private,College of Education,2013
"Assanusiya COE, Odeomu, Osun",Private,College of Education,2002
"COE, Ero, Akure",Private,College of Education,2014
Calvin Foundation COE,Private,College of Education,1997
Best Legacy COE Ogbomoso,Private,College of Education,2007
Angel Crown COE,Private,College of Education,2004
"Elder Oyama Memorial COE, Ofat",Private,College of Education,2018
"COE, Moro, Ife-North",Private,College of Education,2008
"Royal City COE, Iyesi-Ota",Private,College of Education,2018
"ONIT COE, Abagana",Private,College of Education,2008
Nana Aishat Memorial COE,Private,College of Education,2009
"Top-Most COE, Ipaja-Agbado",Private,College of Education,2019
"Apa COE, Aido",Private,College of Education,2021
Awori District COE,Private,College of Education,2019
"Hill COE, Gwanje, Akwanga",Private,College of Education,2004
Aminu Kano College of Education,Private,College of Education,2010
"Murtadha COE, Olodo",Private,College of Education,2018
"Islamic COE, Potiskum",Private,College of Education,2016
"Royal COE, Ikeja, Lagos State",Private,College of Education,2007
Hassan Usman Katsina Polytechnic,State Government,Polytechnics offering NCE Programmes,1983
Plateau State Polytechnic,State Government,Polytechnics offering NCE Programmes,1978
Kano State Polytechnic,State Government,Polytechnics offering NCE Programmes,1975
Waziri Umaru Federal Polytechnic,Federal Government,Polytechnics offering NCE Programmes,1977
Ramat Polytechnic,State Government,Polytechnics offering NCE Programmes,1973
Kaduna Polytechnics,Federal Government,Polytechnics offering NCE Programmes,1956
Abubakar Tatari Polytechnic,State Government,Polytechnics offering NCE Programmes,1988
Nuhu Bamalli Polytechnic,State Government,Polytechnics offering NCE Programmes,1989
"Ipere COE, Agyaragu",Private,College of Education,2010
Piaget College of Education,Private,College of Education,2015
Biga College of Education,Private,College of Education,2014
Al-Ibadan COE,Private,College of Education,2019
College of Education Kura,Private,College of Education,1974
"Al-fajr College of Education, Kano",Private,College of Education,2019
Sunnah College of Education,Private,College of Education,2012
Oswald Waller COE Shendam,Private,College of Education,2016
"Imam Saidu COE, Funtua",Private,College of Education,2012
Bilyaminu Othman COE Dass,Private,College of Education,2013
"The Polytechnic Iree, Osun State",State Government,Polytechnics offering NCE Programmes,1992
Bogoro College of Education,Private,College of Education,2017
Ife College of Education Omala,Private,College of Education,2017
Elibest College of Education,Private,College of Education,2022
"Adesina College of Education, Share, Kwara State",Private,College of Education,2007
Covenant College of Education (CCOE),Private,College of Education,1955
"JIGAWA STATE COLLEGE OF EDUCATION AND LEGAL STUDIES, RINGIM",State Government,College of Education,1992
CRESTFIELD COLLEGE OF EDUCATION,Private,College of Education,2021
GRACE COLLEGE OF EDUCATION,Private,College of Education,2008
AFRICAN CHURCH COLLEGE OF EDUCATION,Private,College of Education,2008
"Kano State College of Education and Remedial Studies, Kano",State Government,College of Education,1981
"College of Education, Lanlate, Oyo State",State Government,College of Education,1982
"Climax College of Education, Bauchi",Private,College of Education,2004
"TCNN College of  Education,  Bukuru",Private,College of Education,1958
JIBWIS College of Education Jos,Private,College of Education,2012
College of Education and Legal Studies,State Government,College of Education,2000
Federal College of Education Sokoto,Federal Government,College of Education,2019
Federal College of Education Bauchi,Federal Government,College of Education,1987
"Federal College of Education (T), ISU Ebonyi State",Federal Government,College of Education,2022
"Federal College of Education, Odugbo, Benue State",Federal Government,College of Education,2019
Federal College of Education Osun,Federal Government,College of Education,2020
Federal College of Education Edo,Federal Government,College of Education,2020
Kashim Ibrahim College of Education,State Government,College of Education,1977
College of Education Oro,State Government,College of Education,1976
"Imo State College of Education, Ihitte/Uboma",State Government,College of Education,2010
Annur College of Education Kano,Private,College of Education,2003
College of Education Ilemona,Private,College of Education,2006
Ebenezer College of Education Amangwu,Private,College of Education,2014
JIBWIS College of Education Gombe,Private,College of Education,2021
Kogi East College of Education,Private,College of Education,1981
Gboko College of Education Benue State,Private,College of Education,2003
Hope and Anchor College of Education,Private,College of Education,2015
Elizabeth Memorial College of Education Nsukka,Private,College of Education,1925
"Ilori College of Education, Ede",Private,College of Education,2016
Sarkin Yama Community College of Education,Private,College of Education,2015
"Umar Bun Khatab College of Education, Tudun Nupawa, Kaduna",Private,College of Education,2018
Peacock College of Education Jalingo,Private,College of Education,2021
Peace College Of Education Ankpa,Private,College of Education,2007
"Moje College of Education, Erin-Ile",Private,College of Education,2017
"Uli College of Education, Uli",Private,College of Education,2018
"Lifegate College of Education, Asa",Private,College of Education,2017
"JIBWIS COE, Jamalare",Private,College of Education,2020
"Dala College of Education, Kano",Private,College of Education,2019
"Hamzainab College of Education, Oshogbo",Private,College of Education,2017
"College of Education, Darazo",Private,College of Education,1970
"Abubakar Garba Zagada- Zagada College of Education, Bajoga",Private,College of Education,2021
"Imam Hamzat COE, Ilorin",Private,College of Education,2018
"Metro COE, Adogi-Lafia",Private,College of Education,2019
College of Sharia and Arabic  Studies,Private,College of Education,1992
"Abdullahi Maikano College of  Education, Wase",Private,College of Education,2016
"Nosakhare COE, Benin City",Private,College of Education,1996
Good Shepperd COE,Private,College of Education,2009
"Turath COE, Kano",Private,College of Education,1988
Meadow Hall COE,Private,College of Education,2001
Raphat COE,Private,College of Education,2020
Kazaure College of Education,Private,College of Education,2022
JIBWIS College of Education,Private,College of Education,2012
"Adamu Garkuwa COE, Toro",Private,College of Education,2017
"Folrac Fortified COE, Ondo",Private,College of Education,2011
Al-Iman College of  Education,Private,College of Education,1990
"Danyaya College of Education, Ningi",Private,College of Education,2019
"Innovative College of Education, Karu",Private,College of Education,2020
Sam Ale College of Education,Private,College of Education,2016
"Gombe State COE, NAFADA",State Government,College of Education,2013
Gand-Plus College of  Education,Private,College of Education,2016
Olekamba College of  Education,Private,College of Education,2014
Emamo College of Education,Private,College of Education,2018
Aminu Kano College of Islamic and Legal Studies,State Government,Other NCE-Awarding Institutions,1981
Muhammad Goni College of Legal and Islamic Studies (MOGOLIS),State Government,Other NCE-Awarding Institutions,1981
A.D. Rufai College for Islamic and  Legal Studies,State Government,Other NCE-Awarding Institutions,1978
"Yusuf Bala Usman College of Legal and General Studies, Daura",State Government,College of Education,1928
Bauchi Institute for Arabic and  Islamic Studies,Private,Other NCE-Awarding Institutions,2003
Institute of Ecumenical Education  (Thinkers Corner),Private,Other NCE-Awarding Institutions,1980
"Ameer Shehu Idris College of Advanced Studies, Zaria",Private,Other NCE-Awarding Institutions,2008
"Abubakar Tafawa Balewa University, Bauchi",Federal Government,University,1988
"Ahmadu Bello University, Zaria",Federal Government,University,1962
"Bayero University, Kano",Federal Government,University,1975
"Federal University Gashua, Yobe",Federal Government,University,2013
"Federal University of Petroleum Resources, Effurun",Federal Government,University,2007
"Federal University of Technology, Akure",Federal Government,University,1981
"Federal University of Technology, Minna",Federal Government,University,1982
"Federal University of Technology, Owerri",Federal Government,University,1980
"Federal University, Dutse, Jigawa State",Federal Government,University,2011
"Federal University, Dutsin-Ma, Kastina",Federal Government,University,2011
"Federal University, Kashere, Gombe State",Federal Government,University,2011
"Federal University, Lafia, Nasarawa State",Federal Government,University,2011
"Federal University, Lokoja, Kogi state",Federal Government,University,2011
"Alex Ekwueme University, Ndufu-Alike, Ebonyi state",Federal Government,University,2011
"Federal University, Otuoke, Bayelsa ",Federal Government,University,2011
"Federal University, Oye-Ekiti, Ekiti",Federal Government,University,2011
"Federal University, Wukari, Taraba State",Federal Government,University,2011
"Federal University, Birnin Kebbi",Federal Government,University,2013
"Federal University, Gusau Zamfara",Federal Government,University,2013
Michael Okpara University of Agricultural Umudike,Federal Government,University,1992
"Modibbo Adama University of Technology, Yola",Federal Government,University,1981
"National Open University of Nigeria, Lagos",Federal Government,University,2002
Nigeria Police Academy Wudil,Federal Government,University,2013
Nigerian Defence Academy Kaduna,Federal Government,University,1985
"Nnamdi Azikiwe University, Awka",Federal Government,University,1992
"Obafemi Awolowo University, Ile-Ife",Federal Government,University,1962
"University of Abuja, Gwagwalada",Federal Government,University,1988
"Federal University of Agriculture, Abeokuta",Federal Government,University,1988
"Joseph Sarwuan Tarka University, Makurdi",Federal Government,University,1988
University of Benin,Federal Government,University,1970
University of Calabar,Federal Government,University,1975
University of Ibadan,Federal Government,University,1948
University of Ilorin,Federal Government,University,1975
University of Jos,Federal Government,University,1975
University of Lagos,Federal Government,University,1962
University of Maiduguri,Federal Government,University,1975
"University of Nigeria, Nsukka",Federal Government,University,1960
University of Port-Harcourt,Federal Government,University,1975
University of Uyo,Federal Government,University,1991
Usumanu Danfodiyo University,Federal Government,University,1975
"Nigerian Maritime University Okerenkoko, Delta State",Federal Government,University,2018
"Air Force Institute of Technology, Kaduna",Federal Government,University,2018
Nigerian Army University Biu,Federal Government,University,2018
"Federal University of Health Technology, Otukpo Benue State",Federal Government,University,2020
"Federal University of Agriculture, Zuru Kebbi State",Federal Government,University,2020
"Federal University of Technology, Babura, Jigawa State",Federal Government,University,2021
"Federal University of Technology, Ikot Abasi, Akwa Ibom State",Federal Government,University,2021
"Federal University of Health Sciences, Azare, Bauchi State",Federal Government,University,2021
"Federal University of Health Sciences, Ila Orangun, Osun State",Federal Government,University,2021
"David Nweze Umahi Federal University of Medical Sciences, Uburu",State Government,University,2022
"Abia State University, Uturu",State Government,University,1981
Adamawa State University Mubi,State Government,University,2002
"Adekunle Ajasin University, Akungba",State Government,University,1999
"Akwa Ibom State University, Ikot Akpaden",State Government,University,2010
"Ambrose Alli University, Ekpoma",State Government,University,1980
"Chukwuemeka Odumegwu Ojukwu University, Uli",State Government,University,2000
"Bauchi State University, Gadau",State Government,University,2011
"Benue State University, Makurdi",State Government,University,1992
"Yobe State University, Damaturu",State Government,University,2006
"Cross River State University of  Technology, Calabar",State Government,University,2004
Delta State University Abraka,State Government,University,1992
"Ebonyi State University, Abakaliki",State Government,University,2000
Ekiti State University,State Government,University,1982
"Enugu State University of Science and Technology, Enugu",State Government,University,1982
"Gombe State Univeristy, Gombe",State Government,University,2004
"Ibrahim Badamasi Babangida University, Lapai",State Government,University,2005
"Ignatius Ajuru University of Education, Rumuolumeni",State Government,University,2010
"Imo State University, Owerri",State Government,University,1992
"Sule Lamido University, Kafin Hausa, Jigawa",State Government,University,2013
"Kaduna State University, Kaduna",State Government,University,2004
"Kano University of Science & Technology, Wudil",State Government,University,2000
"Kebbi State University of Science and Technology, Aliero",State Government,University,2006
Prince Abubakar Audu University Anyigba,State Government,University,1999
"Kwara State University, Ilorin",State Government,University,2009
"Ladoke Akintola University of Technology, Ogbomoso",State Government,University,1990
Ondo State University of Science and Technology Okitipupa,State Government,University,2008
Rivers State University ,State Government,University,1979
"Olabisi Onabanjo University, Ago Iwoye",State Government,University,1982
"Lagos State University, Ojo",State Government,University,1983
Niger Delta University Yenagoa,State Government,University,2000
Nasarawa State University Keffi,State Government,University,2002
Plateau State University Bokkos,State Government,University,2005
Tai Solarin University of Education Ijebu Ode,State Government,University,2005
Umar Musa Yar' Adua University Katsina,State Government,University,2006
Osun State University Osogbo,State Government,University,2006
"Taraba State University, Jalingo",State Government,University,2008
Sokoto State University,State Government,University,2009
Yusuf Maitama Sule University Kano,State Government,University,2012
First Technical University Ibadan,State Government,University,2012
Ondo State University of Medical Sciences,State Government,University,2015
Edo State University Uzairue,State Government,University,2016
"Kingsley Ozumba Mbadiwe University Ogboko, Imo State",State Government,University,2016
"University of Africa Toru Orua, Bayelsa State",State Government,University,2016
"Bornu State University, Maiduguri",State Government,University,2016
Moshood Abiola University of Science and Technology Abeokuta,State Government,University,2017
Gombe State University of Science and Technology,State Government,University,2017
Zamfara State University,State Government,University,2018
Bayelsa Medical University,State Government,University,2019
"University of Agriculture and Environmental Sciences Umuagwo, Imo State",State Government,University,2019
"Confluence University of Science and Technology Osara, Kogi",State Government,University,2020
"University of Delta, Agbor",State Government,University,2021
"Delta University of Science and Technology, Ozoro",State Government,University,2021
"Dennis Osadebe University, Asaba",State Government,University,2021
"Bamidele Olumilua University of Science and Technology Ikere, Ekiti State",State Government,University,2020
"Lagos State University of Education, Ijanikin",State Government,University,2022
Lagos State University of Science and Technology Ikorodu,State Government,University,1970
"Shehu Shagari University of Education, Sokoto",State Government,University,2022
"Enugu State University of Medical and Applied Sciences, Igbo-Eno",State Government,University,2022
"University of Ilesa, Osun State",State Government,University,2022
"Achievers University, Owo",Private,University,2007
"Adeleke University, Ede",Private,University,2011
"Afe Babalola University, Ado-Ekiti - Ekiti State",Private,University,2009
"African University of Science & Technology, Abuja",Private,University,2007
"Ajayi Crowther University, Ibadan",Private,University,2005
"Al-Hikmah University, Ilorin",Private,University,2005
"Al-Qalam University, Kastina",Private,University,2005
"American University of Nigeria, Yola",Private,University,2003
Augustine University,Private,University,2015
"Babcock University, Ilishan-Remo",Private,University,1999
